Jurisdiction,Publication Date,Publication Year,Application Number,Title,Abstract,Applicants,Inventors,Owners,Document_type,CPC_classification,IPCR Classifications,legal_status
EP,3/1/2023,2023,EP 16723200 A,GENERATING DIGITAL MODELS OF NUTRIENTS AVAILABLE TO A CROP OVER THE COURSE OF THE CROP'S DEVELOPMENT BASED ON WEATHER AND SOIL DATA,,CLIMATE LLC,GATES JOHN;;DE GRYZE STEVEN,CLIMATE LLC (2023-01-25),Granted Patent,A01C21/007;;A01B79/005;;A01C21/007;;G06F30/20;;Y02A40/10;;A01G25/167;;G06N5/04,A01B79/00;;A01C21/00,ACTIVE,,,,
WO,9/17/2020,2020,US 2020/0021644 W,REAL-TIME AGRICULTURAL RECOMMENDATIONS USING WEATHER SENSING ON EQUIPMENT,"One technical field of the present disclosure is computer-implemented agricultural data processing. Another technical field is computer-implemented collection of real-time localized weather data and use of the weather data in agricultural operations and provide continuous monitoring of spray effectiveness, automated creation of field buffer zones to prevent application of products under conditions that will adversely affect adjacent crops or fields, automated generation of regulatory reports and automatic drift management.",CLIMATE CORP,MCNICHOLS JOHN;;KHAN ATIF;;CHATTERJEE SOURINDU;;EHRHARDT MARK;;GOODMAN CHRISTOPHER,,Patent Application,G01W2203/00;;G01W2001/006;;G06N20/00;;G06N3/006;;G06N3/126;;G01S19/14;;A01B79/005;;Y02A90/10;;A01M7/0089;;A01M21/043;;A01B79/005;;G06N5/04;;G06N5/02;;G01W1/00;;G06N20/00;;G01S19/42;;G05D1/0088,G06Q50/02;;A01B79/00;;A01C23/00;;A01M7/00,PENDING,,,,
WO,1/26/2017,2017,US 2016/0041705 W,AGRICULTURAL CROP ANALYSIS DRONE,"A method and system utilizing one or more agricultural drones in combination with agricultural equipment, e.g., an agricultural boom sprayer, to evaluate the crops being farmed, and to improve the real-time delivery and dispensing of liquid from the sprayer including monitoring and verifying that the liquid is being dispensed correctly and/or in accordance with a desired distribution pattern or level.",TOPCON POSITIONING SYSTEMS INC,O'CONNOR RAYMOND M;;DI FEDERICO IVAN GIOVANNI,,Patent Application,A01B79/005;;A01M7/0089;;B64C39/024;;A01C23/047;;G05D1/0088;;G05D1/104;;A01B79/005;;A01M7/0089;;B64U10/10;;B64U30/20;;B64U2101/30;;B64U2201/10,A01B79/00,PENDING,,,,
US,3/2/2017,2017,US 201615351344 A,Generating Digital Models Of Nutrients Available To A Crop Over The Course Of The Crop's Development Based On Weather And Soil Data,"A system for generating digital models of nitrogen availability based on field data, weather forecast data, and models of water flow, temperature, and crop uptake of nitrogen and water is provided. In an embodiment, field data and forecast data are received by an agricultural intelligence computing system. Based on the received data, the agricultural intelligence computing system models changes in temperature of different soil layers, moisture content of different soil layers, and loss of nitrogen and water to the soil through crop uptake, leaching, denitrification, volatilization, and evapotranspiration. The agricultural intelligence computing system creates a digital model of nitrogen availability based on the temperature, moisture content, and loss models. The agricultural intelligence computing system may then send nitrogen availability data to a field manager computing device and/or use the nitrogen availability data to create notifications, recommendations, agronomic models, and/or control parameters for an application controller.",CLIMATE CORP,GATES JOHN;;DE GRYZE STEVEN,,Patent Application,A01C21/007;;A01B79/005;;A01C21/007;;G06F30/20;;Y02A40/10;;A01G25/167;;G06N5/04,G06F17/50;;A01C21/00;;A01G25/16;;G06N5/04,ACTIVE,,,,
US,4/30/2019,2019,US 201615140378 A,Assimilating a soil sample into a digital nutrient model,"In an embodiment, agricultural intelligence computer system stores a digital model of nutrient content in soil which includes a plurality of values and expressions that define transformations of or relationships between the values and produce estimates of nutrient content values in soil. The agricultural intelligence computer receives nutrient content measurement values for a particular field at a particular time. The agricultural intelligence computer system uses the digital model of nutrient content to compute a nutrient content value for the particular field at the particular time. The agricultural intelligence computer system identifies a modeling uncertainty corresponding to the computed nutrient content value and a measurement uncertainty corresponding to the received measurement values. Based on the identified uncertainties, the modeled nutrient content value, and the received measurement values, the agricultural intelligence computer system computes an assimilated nutrient content value.",CLIMATE CORP,LEE WAYNE TAI,CLIMATE LLC (2016-04-27),Granted Patent,G01N2033/245;;G16B15/00;;A01B79/005;;A01B79/02;;A01C21/007;;G06Q50/02;;G06F30/20;;G16B15/00;;G01N2033/245;;G06F30/20,G06F17/50;;G01N33/24,ACTIVE,,,,
WO,4/2/2020,2020,US 2019/0048784 W,SUBFIELD MOISTURE MODEL IMPROVEMENT USING OVERLAND FLOW MODELING WITH SHALLOW WATER COMPUTATIONS,"A computer-implemented data processing method comprises: receiving precipitation data and infiltration data for an agricultural field; obtaining surface water depth data, surface water velocity data, and surface water discharge data for the same agricultural field; determining subfield geometry data for the agricultural field; executing a plurality of water calculations and wave calculations using the subfield geometry data to generate an overland flow model that includes moisture levels for the agricultural field; based on, at least in part, the overland flow model, generating and causing displaying a visual graphical image of the agricultural field comprising a plurality of color pixels having color values corresponding to the moisture levels determined for the agricultural field. Output of the overland flow model is provided to control computers of seeders, planters, fertilizer spreaders, harvesters, or combines to control seeding, planting, fertilizing or irrigation activities in the field",CLIMATE CORP,NIZAMI ASRA;;HOLT JENNIFER;;EWING ROBERT;;DE GRYZE STEVEN;;GATES JOHN B;;SANGIREDDY HARISH;;BURDICK JACK BROWNING;;BYRNS MICHAEL S,,Search Report,A01B79/005;;A01C21/007;;A01G25/16;;G05B2219/2625;;G05B15/02;;G06Q50/02;;G06Q10/06;;G05B19/042;;G06T11/001;;A01C21/005;;G05B2219/2625;;A01B79/005;;A01D75/00;;A01G25/16;;G06F30/20;;G06F2111/10,G06G7/48,PENDING,,,,
WO,3/5/2020,2020,US 2019/0048784 W,SUBFIELD MOISTURE MODEL IMPROVEMENT USING OVERLAND FLOW MODELING WITH SHALLOW WATER COMPUTATIONS,"A computer-implemented data processing method comprises: receiving precipitation data and infiltration data for an agricultural field; obtaining surface water depth data, surface water velocity data, and surface water discharge data for the same agricultural field; determining subfield geometry data for the agricultural field; executing a plurality of water calculations and wave calculations using the subfield geometry data to generate an overland flow model that includes moisture levels for the agricultural field; based on, at least in part, the overland flow model, generating and causing displaying a visual graphical image of the agricultural field comprising a plurality of color pixels having color values corresponding to the moisture levels determined for the agricultural field. Output of the overland flow model is provided to control computers of seeders, planters, fertilizer spreaders, harvesters, or combines to control seeding, planting, fertilizing or irrigation activities in the field",CLIMATE CORP,NIZAMI ASRA;;HOLT JENNIFER;;EWING ROBERT;;DE GRYZE STEVEN;;GATES JOHN B;;SANGIREDDY HARISH;;BURDICK JACK BROWNING;;BYRNS MICHAEL S,,Patent Application,A01B79/005;;A01C21/007;;A01G25/16;;G05B2219/2625;;G05B15/02;;G06Q50/02;;G06Q10/06;;G05B19/042;;G06T11/001;;A01C21/005;;G05B2219/2625;;A01B79/005;;A01D75/00;;A01G25/16;;G06F30/20;;G06F2111/10,G06G7/48,PENDING,,,,
US,9/10/2020,2020,US 202016811268 A,REAL-TIME AGRICULTURAL RECOMMENDATIONS USING WEATHER SENSING ON EQUIPMENT,"In an embodiment, agricultural apparatus operable in agricultural fields comprises one or more digital electronic weather stations affixed to the apparatus and optionally one or more GPS receivers and/or proximity sensors, each coupled to a mobile computing device such as a cab computer. The weather stations transmit data representing wind speed, temperature and/or other weather parameters, as measured on the apparatus, to the mobile computing device. Under control of program logic, the mobile computing device continuously compares real-time, then-current weather data received from the weather stations to programmed or configured threshold values relating to a current agricultural operation. If the weather data indicates weather conditions that exceed one of the thresholds, a warning message may be generated at the mobile computing device to prompt the operator to confirm whether to continue the operation. Post-operation wind maps support assessment of the effectiveness of the operation. Other embodiments can provide continuous monitoring of spray effectiveness, automated creation of field buffer zones to prevent application of products under conditions that will adversely affect adjacent crops or fields, automated generation of regulatory reports and automatic drift management.",CLIMATE CORP,MCNICHOLS JOHN;;KHAN ATIF;;CHATTERJEE SOURINDU;;EHRHARDT MARK;;GOODMAN CHRISTOPHER,CLIMATE LLC (2019-04-15),Patent Application,G01W2203/00;;G01W2001/006;;G06N20/00;;G06N3/006;;G06N3/126;;G01S19/14;;A01B79/005;;Y02A90/10;;A01M7/0089;;A01M21/043;;A01B79/005;;G06N5/04;;G06N5/02;;G01W1/00;;G06N20/00;;G01S19/42;;G05D1/0088,A01B79/00;;G05D1/00;;G06N5/02;;G06N5/04,ACTIVE,,,,
US,4/28/2020,2020,US 201615752474 A,Low cost precision irrigation system with passive valves and portable adjusting device,"According to some embodiments of the invention, an adjusting device for adjusting a passive drip irrigation valve to enable precision irrigation includes a device body configured to be at least one of hand-held or attachable to a robot, the device body having a manipulator end, and a manipulator assembly contained within and extending from the manipulator end of the device body. The manipulator assembly includes a coarse alignment adjustment assembly constructed and arranged to align the adjusting device with the passive drip irrigation valve. The manipulator assembly also includes a fine actuator configured to rotate the passive drip irrigation valve by a specified angle.",UNIV CALIFORNIA,GOLDBERG KEN;;CARPIN STEFANO;;MCKINLEY STEPHEN;;VOUGIOUKAS STAVROS;;GEALY DAVID,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2016-08-24),Granted Patent,A01G25/02;;B25J5/007;;B25J11/00;;G05D1/0282;;G05D2201/0201;;A01G25/16;;Y02A40/22;;A01G25/02;;B25J5/007;;B25J11/00;;G05D1/0282;;G05D2201/0201;;Y02A40/22;;A01G25/16;;F16K47/045;;G05B19/106;;G05B2219/2625;;G05D1/0246;;G05D1/028;;G06K7/10415,A01G25/16;;A01G25/02;;B25J5/00;;B25J11/00;;F16K47/04;;G01C21/00;;G05B19/10;;G05D1/02;;G06K7/10,ACTIVE,,,,
US,1/10/2019,2019,US 201615752474 A,LOW COST PRECISION IRRIGATION SYSTEM WITH PASSIVE VALVES AND PORTABLE ADJUSTING DEVICE,"According to some embodiments of the invention, an adjusting device for adjusting a passive drip irrigation valve to enable precision irrigation includes a device body configured to be at least one of hand-held or attachable to a robot, the device body having a manipulator end, and a manipulator assembly contained within and extending from the manipulator end of the device body. The manipulator assembly includes a coarse alignment adjustment assembly constructed and arranged to align the adjusting device with the passive drip irrigation valve. The manipulator assembly also includes a fine actuator configured to rotate the passive drip irrigation valve by a specified angle.",UNIV CALIFORNIA,GOLDBERG KEN;;CARPIN STEFANO;;MCKINLEY STEPHEN;;VOUGIOUKAS STAVROS;;GEALY DAVID,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA (2016-08-24),Patent Application,A01G25/02;;B25J5/007;;B25J11/00;;G05D1/0282;;G05D2201/0201;;A01G25/16;;Y02A40/22;;A01G25/02;;B25J5/007;;B25J11/00;;G05D1/0282;;G05D2201/0201;;Y02A40/22;;A01G25/16;;F16K47/045;;G05B19/106;;G05B2219/2625;;G05D1/0246;;G05D1/028;;G06K7/10415,A01G25/16;;A01G25/02;;B25J5/00;;B25J11/00;;F16K47/04;;G01C21/00;;G05B19/10;;G05D1/02;;G06K7/10,ACTIVE,,,,
US,4/27/2021,2021,US 201916399860 A,Assimilating a soil sample into a digital nutrient model,"In an embodiment, agricultural intelligence computer system stores a digital model of nutrient content in soil which includes a plurality of values and expressions that define transformations of or relationships between the values and produce estimates of nutrient content values in soil. The agricultural intelligence computer receives nutrient content measurement values for a particular field at a particular time. The agricultural intelligence computer system uses the digital model of nutrient content to compute a nutrient content value for the particular field at the particular time. The agricultural intelligence computer system identifies a modeling uncertainty corresponding to the computed nutrient content value and a measurement uncertainty corresponding to the received measurement values. Based on the identified uncertainties, the modeled nutrient content value, and the received measurement values, the agricultural intelligence computer system computes an assimilated nutrient content value.",CLIMATE CORP,LEE WAYNE TAI,CLIMATE LLC (2016-04-27),Granted Patent,G01N2033/245;;G16B15/00;;A01B79/005;;A01B79/02;;A01C21/007;;G06Q50/02;;G06F30/20;;G16B15/00;;G01N2033/245;;G06F30/20,G06F3/00;;G01N33/24;;G06F30/20;;G16B15/00,ACTIVE,,,,
